Column1,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,class
0,0.264226977,0.571149562,0.957526894,0.245253259,0.450427812,0.431172882,0.142562133,0.826187373,0.611021281,0.284199282,0.710462242,0.979089064,0.821123706,0.653129306,0.968845524,0.57753823,0.826322008,0.544509255,0.932425987,0.466642615,1
1,0.128126395,0.18211913,0.17729777,0.682168971,0.49377212,0.713334984,0.242728203,0.78360231,0.842063623,0.099807611,0.197588353,0.117995138,0.131663756,0.95293634,0.347318305,0.837574503,0.119103475,0.121904676,0.670738144,0.988914451,0
2,0.149998448,0.994358698,0.429946475,0.022336944,0.132207128,0.977512045,0.242886018,0.299802231,0.609884288,0.081353378,0.59257841,0.413592773,0.560758945,0.771049612,0.136561008,0.037693487,0.050274702,0.865451572,0.212655001,0.861914906,1
3,0.370948877,0.990416349,0.276086244,0.397994615,0.683438281,0.52534854,0.059697425,0.899626998,0.290451782,0.261653115,0.385306838,0.990369659,0.375204287,0.405436043,0.776627617,0.196272348,0.008721991,0.763934048,0.136960714,0.156447461,1
4,0.824983663,0.956542281,0.076051902,0.892939336,0.963053869,0.966609403,0.218238356,0.295276219,0.158528645,0.661733718,0.891851595,0.043973569,0.845047661,0.362657299,0.754884528,0.955936427,0.095389472,0.882815374,0.026930672,0.962776243,1
5,0.091325618,0.025917949,0.108429116,0.09157327,0.559501543,0.023185553,0.438019887,0.057395785,0.394649908,0.600036213,0.770663024,0.977892493,0.683460731,0.912724372,0.552463857,0.5380038,0.702448848,0.129200428,0.193676353,0.210642476,0
6,0.607770776,0.953458111,0.589453954,0.102594648,0.752136052,0.446733912,0.381953262,0.81186814,0.445626976,0.28547611,0.574767318,0.373800399,0.260763958,0.065389297,0.290486683,0.673189407,0.657332508,0.556001413,0.26452276,0.847598249,1
7,0.309492596,0.095883817,0.735123556,0.871660303,0.891225214,0.760767634,0.954929131,0.081046845,0.354309537,0.011247189,0.927615048,0.316222707,0.520537164,0.971214327,0.59083015,0.402870028,0.232265346,0.795352461,0.824054825,0.596310213,0
8,0.400219564,0.570547062,0.264802453,0.837500446,0.789107529,0.490451826,0.236540008,0.151832889,0.165423882,0.668142262,0.08539152,0.236198272,0.702051069,0.788673642,0.515317402,0.516399612,0.187293234,0.365228335,0.071625748,0.739593255,1
9,0.990791342,0.212453714,0.549099119,0.854670564,0.175950013,0.344415534,0.851193503,0.086858139,0.730009318,0.026811652,0.959550788,0.274961958,0.928542599,0.207198624,0.259084652,0.611764201,0.995151754,0.926315344,0.88445761,0.730463335,0
10,0.910684734,0.894317615,0.720501422,0.371901639,0.798118597,0.928682975,0.611926841,0.149864263,0.368889633,0.37102298,0.435974848,0.277068176,0.441491612,0.764181656,0.601384595,0.472533658,0.475132283,0.698889126,0.603479895,0.743606054,1
11,0.069800457,0.126579675,0.964984148,0.028384917,0.793065747,0.563363655,0.945118069,0.749832387,0.627589777,0.668926326,0.513482525,0.878376452,0.532438271,0.260848921,0.336042151,0.872899791,0.262194968,0.477062488,0.246673872,0.629050945,0
12,0.655792598,0.464856238,0.706332275,0.262943696,0.155227008,0.662897556,0.681862961,0.411652347,0.317503729,0.821952102,0.460757813,0.846321672,0.886511368,0.66592994,0.904339136,0.878062412,0.974405954,0.191358837,0.446465249,0.956357084,1
13,0.51996719,0.395821405,0.252149603,0.694157558,0.831494985,0.347715047,0.933198636,0.030901127,0.055118473,0.646345933,0.630160117,0.717909295,0.038583516,0.842216023,0.681565013,0.927614989,0.943809389,0.395897442,0.24483369,0.340525824,1
14,0.363085818,0.348060434,0.130831321,0.631646055,0.55997085,0.314144146,0.607765559,0.874645643,0.713863254,0.09629665,0.074470717,0.979351191,0.171061131,0.394725393,0.644456169,0.338130443,0.004621768,0.988713332,0.39549816,0.482503224,1
15,0.678191834,0.932024483,0.554496308,0.692379195,0.894523111,0.374473154,0.450022931,0.242060517,0.62080514,0.420061862,0.777590176,0.695224835,0.165626742,0.19645013,0.794994623,0.470952347,0.801218873,0.335476276,0.318851339,0.945001714,1
16,0.034950799,0.447684091,0.698465752,0.65100657,0.205887387,0.06181227,0.183475238,0.885157884,0.874652089,0.377040111,0.204503007,0.69718786,0.056160634,0.007288189,0.73173913,0.150503344,0.756257103,0.028974028,0.215039127,0.896754991,0
17,0.639610036,0.141682577,0.043850316,0.999689243,0.017135437,0.633826506,0.956105358,0.819881202,0.277456713,0.880611756,0.700290197,0.336081217,0.960497027,0.371690326,0.188292557,0.455132784,0.157941573,0.477892423,0.344048719,0.107879596,0
18,0.478371287,0.503584991,0.864085118,0.198550667,0.309302427,0.089242114,0.562317515,0.437391035,0.59779207,0.867717229,0.494060205,0.825007728,0.126842009,0.019590342,0.390237991,0.702628505,0.836927237,0.796903921,0.403135207,0.895105451,0
19,0.746205459,0.12217619,0.886480046,0.535388673,0.633393329,0.452613257,0.40826274,0.844726087,0.494366165,0.483071489,0.469212851,0.030980913,0.150584882,0.791944689,0.934756976,0.380016263,0.808756492,0.717028815,0.7185944,0.706971558,0
20,0.867463451,0.308653037,0.949912543,0.261185359,0.524830839,0.855149744,0.550407197,0.310904339,0.103029995,0.886774428,0.913091642,0.220255075,0.096795911,0.554526856,0.871888857,0.079438122,0.716288796,0.024451687,0.668592103,0.404674304,1
21,0.953200544,0.449855,0.755463184,0.60423078,0.903508018,0.738190204,0.94682348,0.342843952,0.230915248,0.50218662,0.689634662,0.301717544,0.645231235,0.062335111,0.457936771,0.074730728,0.991419831,0.655033683,0.31381454,0.432390559,1
22,0.295256155,0.44245736,0.787022966,0.214056422,0.769699838,0.583478303,0.229638994,0.292214791,0.350235337,0.597825496,0.942755492,0.583285586,0.433103109,0.620295247,0.163290324,0.559232242,0.030175475,0.081661835,0.573271854,0.016274742,1
23,0.8759524,0.671547735,0.092567058,0.998479927,0.880671198,0.776968026,0.194526201,0.337121346,0.998339868,0.90456074,0.599471204,0.097529076,0.929366745,0.29737683,0.509609325,0.940258694,0.01828084,0.487956229,0.611618803,0.622292491,1
24,0.025112592,0.972675018,0.129925426,0.725518609,0.624885798,0.416275099,0.047967816,0.192555402,0.502725822,0.947836576,0.14306808,0.651364804,0.358320405,0.930986001,0.387189077,0.396391127,0.579939126,0.190914934,0.063510667,0.956925236,0
25,0.819401684,0.924051582,0.948093982,0.907979936,0.671694775,0.925406339,0.636366802,0.202295165,0.372409111,0.840986733,0.217288202,0.53742485,0.235075626,0.161004326,0.898865942,0.315160978,0.03842223,0.363803974,0.547333328,0.095356061,1
