ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,class
0,0.338720141,0.379472447,0.572993307,0.69205314,0.306166998,0.687976727,0.38268473,0.992028516,0.829753016,0.115396231,0.707145852,0.459499273,0.310951323,0.294378213,0.175644926,0.028438303,0.533171179,0.229467695,0.284436425,0.682462514,0.363558444,0.345988074,0.942584012,0.654337222,0.592669557,0.566286684,0.725783864,0.159570208,0.248655029,0.20145354,0.728169929,0.867843579,0.424257767,0.115490996,0.82584981,0.499860343,0.405480204,0.313051646,0.02851125,0.716010245,0.612138626,0.244156283,0.900218886,0.174652086,0.351885428,0.677252666,0.347131202,0.863543471,0.29779549,0.234653886,0.549675953,0.081072691,0.423951938,0.633928983,0.258070467,0.131180634,0.825239224,0.477444416,0.926627855,0.964244174,0.384808939,0.375050123,0.141198904,0.659552935,0.030686711,0.491003752,0.877673039,0.911425186,0.720613394,0.099763177,0.997848032,0.302680845,0.835489155,0.614599619,0.605505695,1
1,0.029040468,0.696857073,0.197528448,0.158114252,0.932157924,0.329279683,0.288544918,0.768710229,0.185767858,0.87230771,0.098620533,0.616796805,0.263011953,0.257891802,0.331870711,0.295212055,0.400703813,0.878382066,0.335189423,0.8412953,0.820245759,0.644389278,0.487875016,0.985202917,0.5754174,0.972168202,0.750271419,0.025476504,0.072624512,0.649324989,0.365612708,0.06660738,0.811679707,0.785754223,0.950089959,0.682197187,0.040867758,0.802844519,0.577903015,0.497167576,0.798997064,0.704150937,0.532399525,0.976280787,0.447254468,0.960834337,0.839913505,0.026460024,0.75735285,0.485427257,0.100271698,0.691103893,0.726895459,0.091627686,0.608318263,0.134838013,0.305250272,0.005240359,0.498961412,0.011055091,0.370463973,0.567609855,0.573601763,0.27989215,0.547264161,0.700594014,0.10865344,0.108093801,0.205957553,0.725840467,0.129942212,0.078944526,0.672509321,0.644897833,0.835898099,1
2,0.549760747,0.348778751,0.839642375,0.400175491,0.44346241,0.036553164,0.329113428,0.694939532,0.444414779,0.849074833,0.657545317,0.570180101,0.494727321,0.857017122,0.046341352,0.737616512,0.961782818,0.600864506,0.75118525,0.741502503,0.965546741,0.206589495,0.006035909,0.491602811,0.022982015,0.607355579,0.738275289,0.293170692,0.456482885,0.264047479,0.865552577,0.495932943,0.339551629,0.34479607,0.1377954,0.300693026,0.112188682,0.774333268,0.532863283,0.823207967,0.215995938,0.335914949,0.257307604,0.440682122,0.712151967,0.493049201,0.684330134,0.413798793,0.848233197,0.923484575,0.070863448,0.808279697,0.265076521,0.509747774,0.612955505,0.63848563,0.183042317,0.653583468,0.817880065,0.169082744,0.50761726,0.424717645,0.18981076,0.267685882,0.917989434,0.737669361,0.947053953,0.734808054,0.669485136,0.580322306,0.126680417,0.140141618,0.68533235,0.082188148,0.056660201,1
3,0.852020776,0.906830879,0.182115724,0.584215666,0.105484322,0.409002166,0.269557718,0.48533857,0.331877165,0.067718935,0.117402028,0.922355747,0.329882535,0.125940815,0.182436664,0.52610119,0.82770072,0.559257579,0.42383997,0.245803862,0.411430353,0.946947684,0.268868995,0.006189032,0.34446514,0.101689792,0.693204623,0.979902427,0.50720064,0.048375229,0.140941997,0.123014134,0.891108366,0.472915545,0.541055255,0.911460583,0.362566935,0.109890781,0.282514876,0.580050824,0.506735476,0.346967193,0.716368466,0.35288883,0.026054894,0.449048963,0.810643346,0.989800161,0.612168797,0.39636154,0.820247413,0.478330477,0.472145851,0.368603403,0.858184492,0.84149836,0.889157213,0.869160112,0.130396077,0.81452579,0.8591701,0.370891306,0.187277396,0.374526061,0.726996738,0.715123486,0.920969917,0.848873215,0.239707784,0.645041744,0.60944212,0.278350836,0.671737924,0.2396917,0.265570691,0
4,0.896338902,0.578312793,0.968712643,0.985177249,0.980029505,0.204408929,0.765227354,0.01995409,0.380278306,0.677683659,0.440889305,0.76335968,0.683402924,0.6096784,0.883455238,0.714081506,0.086271619,0.549524484,0.547683778,0.749271445,0.18556359,0.994229255,0.032503072,0.644602761,0.233956953,0.548792737,0.112823976,0.568953348,0.290618417,0.631241722,0.187397018,0.686866905,0.446402561,0.039830103,0.56540641,0.202994426,0.129728725,0.666331102,0.020902482,0.682194737,0.261930439,0.079510808,0.331169514,0.816028303,0.464674848,0.562460139,0.941006722,0.563000546,0.053302106,0.802345754,0.523065203,0.705309308,0.629055038,0.485497165,0.402435229,0.468764841,0.658612304,0.629204262,0.007832387,0.735670358,0.848230858,0.491708939,0.304165889,0.515241127,0.330899004,0.533863526,0.932085537,0.281834743,0.767221874,0.539507411,0.322030837,0.513005737,0.105097439,0.705852859,0.236917431,1
5,0.159639826,0.034796681,0.969969965,0.250500542,0.79327318,0.228790126,0.347072162,0.423259926,0.958928192,0.539163776,0.732192941,0.418613451,0.262367242,0.103583946,0.870843695,0.142673546,0.460809247,0.844926264,0.077803103,0.101973971,0.411467547,0.005345539,0.390885931,0.454712961,0.27868819,0.339096602,0.58541362,0.635854063,0.604146759,0.31236297,0.391487902,0.904237789,0.191840031,0.70939152,0.858008077,0.682661937,0.128795416,0.911744368,0.767506687,0.585330422,0.090349095,0.074045097,0.172912149,0.25328251,0.161655401,0.112144226,0.223820018,0.311537932,0.943909588,0.407062374,0.100022328,0.621434722,0.247553173,0.519623981,0.091587187,0.235949237,0.395903812,0.037871053,0.815804938,0.118413321,0.281958551,0.687296422,0.695845635,0.622795237,0.22449472,0.700182722,0.27897628,0.095432889,0.970585404,0.945447784,0.657195722,0.934655703,0.157642414,0.687403897,0.450044491,1
6,0.011772563,0.136315737,0.331534487,0.325637005,0.240027941,0.433307754,0.580793379,0.990878159,0.078905573,0.072438692,0.77102628,0.789504717,0.506490342,0.692536963,0.661139579,0.723955334,0.624002723,0.342832327,0.463702837,0.034194961,0.953302258,0.267709121,0.417513005,0.08939781,0.112479749,0.301337163,0.993903281,0.951193476,0.859242879,0.083312988,0.017482602,0.113461454,0.580115518,0.761208711,0.639947973,0.371631748,0.424058317,0.189582579,0.693148292,0.798214142,0.409238402,0.01803128,0.662691772,0.181688911,0.107958277,0.628191184,0.97728691,0.403656692,0.645404784,0.380731603,0.99927676,0.400474449,0.94798421,0.940990223,0.818270396,0.86409426,0.997587469,0.079642862,0.896222323,0.678292917,0.214908211,0.995082582,0.385444001,0.835759971,0.69359715,0.571146729,0.428980752,0.357698645,0.083070456,0.909518277,0.784948847,0.591329795,0.146769368,0.097134446,0.092799224,1
7,0.890349298,0.286848129,0.600245136,0.187192641,0.853848826,0.642775715,0.411882112,0.92694156,0.068461246,0.591446317,0.045589451,0.552920635,0.57180362,0.374638444,0.093869806,0.288564721,0.603528335,0.340664046,0.473532035,0.747699328,0.47783257,0.895457349,0.030368621,0.274150033,0.924129269,0.793176559,0.395494312,0.630808317,0.931634376,0.668131295,0.510634071,0.933262884,0.350945288,0.684519401,0.247557313,0.972423258,0.500090138,0.322832234,0.809811053,0.723759273,0.05668453,0.55262384,0.596078348,0.464364072,0.441591936,0.157309752,0.58363902,0.610073361,0.701330596,0.53476179,0.658153184,0.283013285,0.111958356,0.655274365,0.207500589,0.762056831,0.37934147,0.029129297,0.82609305,0.637325046,0.210386066,0.375090937,0.943727532,0.265576265,0.106208965,0.134710308,0.653902063,0.717273866,0.096191527,0.217070743,0.558205133,0.993257019,0.094330537,0.826950318,0.827251279,0
8,0.077754229,0.882675453,0.25803162,0.021167825,0.574843488,0.381261832,0.577705668,0.850915052,0.170650858,0.258456553,0.399747415,0.229537666,0.946533998,0.540180315,0.406422597,0.357683291,0.865377054,0.682783187,0.549781583,0.262139838,0.511467692,0.185619557,0.254722626,0.848327144,0.389968289,0.584608125,0.908023662,0.410886337,0.526435729,0.161134923,0.058114249,0.478738778,0.085815871,0.291225722,0.098920576,0.740537942,0.159589168,0.457949792,0.572587142,0.678733376,0.223601576,0.958680135,0.205571901,0.877196361,0.776508949,0.68966741,0.560814146,0.972954751,0.059317971,0.560117722,0.997273886,0.856031879,0.805162169,0.383610259,0.261143256,0.601463032,0.744638887,0.404724604,0.95534998,0.941816569,0.752008031,0.725947817,0.87883751,0.623566536,0.529280186,0.887631263,0.247677188,0.421688719,0.589688122,0.23902109,0.04103435,0.142927911,0.451794913,0.130778127,0.324265476,1
9,0.511388049,0.306607902,0.323895047,0.751591478,0.407962575,0.400774497,0.638271439,0.178648898,0.001645573,0.124548288,0.757742976,0.868797761,0.002587758,0.846756345,0.149133349,0.716175751,0.453714423,0.381246686,0.233515736,0.969954027,0.617830608,0.503206021,0.288202763,0.591864642,0.998071746,0.222673557,0.286887053,0.969852082,0.153735696,0.529712472,0.448152375,0.414081788,0.068921104,0.810022183,0.526415921,0.47476903,0.942001331,0.82259744,0.411046779,0.410647006,0.187281499,0.226020391,0.610760061,0.823222221,0.924161208,0.199807351,0.035575275,0.637449129,0.545860627,0.933092288,0.486579963,0.090337161,0.48614032,0.198030082,0.757251056,0.703347413,0.240317871,0.183518865,0.624737607,0.564368912,0.349437818,0.353410239,0.687311779,0.966398546,0.177765997,0.60371562,0.545605905,0.485081051,0.527820584,0.334811542,0.274469232,0.706496694,0.00317789,0.746455443,0.093828859,0
