id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,class
0,0.34280542,0.308407783,0.366600646,0.975144745,0.314622927,0.667590496,0.661516803,0.284236563,0.346933037,0.037492747,0.731547373,0.887085102,0.344984059,0.306112915,0.440769286,0.888942083,0.261505465,0.657743087,0.911769823,0.914675393,0.620165342,0.479061014,0.320406405,0.757893609,0.924778438,0.002515886,0.230542065,0.537491849,0.35242158,0.308631457,0.900175357,0.920654076,0.308486176,0.047259727,0.366795321,0.825272105,0.468237648,0.294243492,0.55736427,0.905817786,0.570815744,0.777587047,0.721613982,0.074880692,0.143287281,0.194013927,0.133994305,0.932048002,0.964715012,0.755820366,0.326139564,0.148832015,0.067142458,0.718999076,0.423227685,0.325699437,0.014594206,0.291915426,0.895109897,0.827289124,2.351250228
1,0.115635348,0.754165529,0.698709986,0.578237681,0.421685548,0.547792632,0.985604161,0.653291286,0.34327092,0.728396446,0.376622622,0.95877534,0.153973477,0.28603218,0.521881643,0.469709114,0.95772254,0.054500362,0.738186326,0.596465431,0.621477495,0.331530137,0.828290793,0.008995787,0.430796652,0.541306391,0.351931069,0.344771268,0.805291137,0.170696241,0.932374587,0.060734821,0.773608878,0.747049793,0.234259735,0.142591783,0.650900107,0.029726617,0.097456087,0.116687772,0.774494325,0.668412067,0.531554603,0.722256439,0.730977644,0.418094007,0.684090562,0.067110255,0.292898894,0.254201758,0.809418186,0.52346408,0.71248425,0.978624011,0.522236422,0.25941195,0.571985139,0.815575938,0.359903332,0.03533298,1.090155559
2,0.710668729,0.716751016,0.104128401,0.844834735,0.800568902,0.581918956,0.578955218,0.253834247,0.710784469,0.248082439,0.44616564,0.224993272,0.089349946,0.719800281,0.893950769,0.562571633,0.424660695,0.346073657,0.225298327,0.455526571,0.816722054,0.887668708,0.37012619,0.320803413,0.827225539,0.828370691,0.951613618,0.613245767,0.783400611,0.518986837,0.784783563,0.539881774,0.071566647,0.763434616,0.054404143,0.552182694,0.629614782,0.72927329,0.367247546,0.372574335,0.925430615,0.672838696,0.973062056,0.491687256,0.073145766,0.062324974,0.568049388,0.07294348,0.703747842,0.245542042,0.125560619,0.5863652,0.214962249,0.59829643,0.491349796,0.713018854,0.216730855,0.502682258,0.541966169,0.336047856,2.529287176
3,0.689271984,0.037674012,0.460329575,0.167732026,0.131942798,0.360882395,0.412071902,0.86025521,0.408127941,0.523687755,0.716218558,0.478531146,0.663695561,0.236826287,0.701771958,0.90491846,0.635043206,0.862511495,0.888844107,0.295636299,0.559151706,0.24288359,0.308641785,0.635268606,0.042184775,0.124933326,0.004079265,0.887287859,0.017237396,0.496741908,0.112223352,0.998318449,0.75849734,0.663317344,0.455734507,0.410010148,0.215727853,0.399089753,0.373997562,0.086818901,0.899963162,0.036124017,0.341023307,0.265198905,0.414672277,0.80734566,0.925809332,0.445073705,0.711736977,0.770378937,0.02617964,0.330696585,0.198488255,0.868682842,0.462976012,0.919628232,0.359823363,0.715684836,0.550272286,0.92468236,2.968067107
4,0.162428985,0.910577957,0.204369824,0.745136659,0.989613829,0.904245683,0.071941983,0.969793313,0.316799638,0.07693776,0.762227663,0.874441407,0.761180055,0.540483846,0.719791695,0.276443103,0.216327988,0.147964795,0.620996833,0.426691836,0.19691573,0.264357257,0.541486431,0.168234356,0.012131644,0.715132089,0.291148758,0.651466896,0.550716415,0.20893244,0.95350454,0.506542095,0.031343675,0.417953277,0.31059782,0.125873936,0.40150372,0.388124608,0.286896217,0.442763301,0.833190928,0.173987335,0.07652695,0.636661045,0.327076894,0.624811665,0.0795234,0.061046435,0.235086734,0.067368964,0.875908314,0.6750016,0.417004462,0.943641436,0.339251403,0.856278743,0.077218093,0.84366728,0.230250093,0.830667264,2.259873457
5,0.941878917,0.034259239,0.534783948,0.370689859,0.806822902,0.797833128,0.757614743,0.51121518,0.278350082,0.107078783,0.588365531,0.226534705,0.109637899,0.322344376,0.367537259,0.044200094,0.529234413,0.965637398,0.328376246,0.429104693,0.464657331,0.772321085,0.187698342,0.197292796,0.058856536,0.716337579,0.289276624,0.497608078,0.703145186,0.616869398,0.043076895,0.419829162,0.706042796,0.765315054,0.782245108,0.028864183,0.855040725,0.847828192,0.662913234,0.558679819,0.238555487,0.510621733,0.550218298,0.018471259,0.61410649,0.822211803,0.899049178,0.02067554,0.978175149,0.223248176,0.270295197,0.914459991,0.387010296,0.252308114,0.994451494,0.852568599,0.994557079,0.127122731,0.838604188,0.708088004,3.276601278
6,0.043624039,0.717254204,0.321117079,0.735620413,0.8953932,0.222602864,0.923479295,0.080406534,0.433270439,0.241992402,0.070900137,0.669448808,0.324449689,0.520589783,0.176325271,0.587037168,0.036996573,0.988434055,0.734851516,0.541934096,0.998553523,0.925467162,0.120647694,0.591439587,0.302302322,0.987118545,0.189477295,0.864033084,0.27906136,0.667651055,0.209137351,0.763467311,0.328807118,0.213459701,0.266176385,0.388565801,0.324885524,0.323231432,0.290667721,0.941292172,0.70687831,0.369400819,0.612288321,0.491910105,0.152532449,0.803722026,0.514690019,0.303807854,0.655142225,0.285188892,0.276131313,0.437595771,0.437540712,0.303961837,0.915179355,0.716086264,0.201873504,0.874360027,0.584096496,0.684884019,1.932174353
7,0.597123582,0.096602004,0.866927642,0.251060125,0.504070341,0.321789953,0.340988699,0.087040372,0.176403191,0.9071023,0.846646939,0.167918379,0.674653402,0.525228369,0.559730798,0.849996279,0.111564491,0.921188197,0.358168388,0.84763779,0.40891358,0.139889418,0.65400099,0.918073132,0.183030385,0.009032032,0.018774554,0.675434545,0.45578535,0.927296618,0.140897545,0.905110112,0.487817273,0.433076525,0.343173715,0.142882892,0.207307319,0.224370954,0.369953717,0.72124937,0.101722146,0.585299984,0.364469009,0.128840771,0.774788378,0.385359209,0.524613353,0.552806199,0.162291409,0.308739441,0.452439945,0.095355332,0.048860059,0.777451043,0.431604426,0.639687294,0.55107,0.857937452,0.64422357,0.97721455,2.644751938
8,0.89334867,0.491756028,0.971084796,0.041298407,0.640622193,0.290345057,0.916760066,0.856895744,0.714085744,0.367644364,0.933337144,0.163208842,0.434296099,0.784366697,0.195136416,0.178129535,0.416783355,0.249652382,0.331408507,0.824210369,0.117757828,0.65348014,0.664728512,0.564082992,0.482161648,0.502166704,0.520469728,0.978425058,0.86962858,0.941613131,0.739205454,0.490317251,0.0109779,0.675380067,0.42541781,0.811553519,0.392395918,0.088142806,0.162338495,0.513095605,0.085817926,0.032786228,0.467470613,0.679765158,0.56346431,0.877607152,0.897100497,0.777523645,0.787769934,0.515166172,0.138182723,0.763989293,0.832878102,0.127493884,0.364712234,0.036227151,0.937032709,0.812488113,0.024282263,0.281115823,1.894682017
9,0.667488128,0.391535345,0.0830281,0.406225636,0.729534836,0.562019823,0.733235578,0.683368549,0.583892991,0.388561851,0.737892907,0.705698853,0.573186474,0.501949598,0.78395169,0.36810868,0.56123319,0.034270769,0.784160882,0.158069994,0.620967479,0.31603058,0.598415503,0.421173778,0.084782935,0.347721079,0.893159402,0.045335718,0.917044538,0.04601848,0.371671499,0.837508784,0.37993315,0.737689588,0.255856108,0.617750553,0.460695439,0.961233262,0.232253739,0.368730781,0.470645998,0.678724866,0.320089984,0.141713484,0.415729349,0.821477873,0.818931956,0.801477674,0.831593024,0.765430796,0.935573286,0.771241605,0.046846856,0.674156111,0.141247259,0.647848332,0.960971159,0.140281145,0.790244241,0.859938059,2.985686697
