id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,class
0,0.34280542,0.308407783,0.366600646,0.975144745,0.314622927,0.667590496,0.661516803,0.284236563,0.346933037,0.037492747,0.731547373,0.887085102,0.344984059,0.306112915,0.440769286,0.888942083,0.261505465,0.657743087,0.911769823,0.914675393,0.620165342,0.479061014,0.320406405,0.757893609,0.924778438,0.002515886,0.230542065,0.537491849,0.35242158,0.308631457,1.024468054
1,0.115635348,0.754165529,0.698709986,0.578237681,0.421685548,0.547792632,0.985604161,0.653291286,0.34327092,0.728396446,0.376622622,0.95877534,0.153973477,0.28603218,0.521881643,0.469709114,0.95772254,0.054500362,0.738186326,0.596465431,0.621477495,0.331530137,0.828290793,0.008995787,0.430796652,0.541306391,0.351931069,0.344771268,0.805291137,0.170696241,-0.484324605
2,0.710668729,0.716751016,0.104128401,0.844834735,0.800568902,0.581918956,0.578955218,0.253834247,0.710784469,0.248082439,0.44616564,0.224993272,0.089349946,0.719800281,0.893950769,0.562571633,0.424660695,0.346073657,0.225298327,0.455526571,0.816722054,0.887668708,0.37012619,0.320803413,0.827225539,0.828370691,0.951613618,0.613245767,0.783400611,0.518986837,-1.267661476
3,0.689271984,0.037674012,0.460329575,0.167732026,0.131942798,0.360882395,0.412071902,0.86025521,0.408127941,0.523687755,0.716218558,0.478531146,0.663695561,0.236826287,0.701771958,0.90491846,0.635043206,0.862511495,0.888844107,0.295636299,0.559151706,0.24288359,0.308641785,0.635268606,0.042184775,0.124933326,0.004079265,0.887287859,0.017237396,0.496741908,0.727983022
4,0.162428985,0.910577957,0.204369824,0.745136659,0.989613829,0.904245683,0.071941983,0.969793313,0.316799638,0.07693776,0.762227663,0.874441407,0.761180055,0.540483846,0.719791695,0.276443103,0.216327988,0.147964795,0.620996833,0.426691836,0.19691573,0.264357257,0.541486431,0.168234356,0.012131644,0.715132089,0.291148758,0.651466896,0.550716415,0.20893244,-0.545748909
5,0.941878917,0.034259239,0.534783948,0.370689859,0.806822902,0.797833128,0.757614743,0.51121518,0.278350082,0.107078783,0.588365531,0.226534705,0.109637899,0.322344376,0.367537259,0.044200094,0.529234413,0.965637398,0.328376246,0.429104693,0.464657331,0.772321085,0.187698342,0.197292796,0.058856536,0.716337579,0.289276624,0.497608078,0.703145186,0.616869398,-0.766108124
6,0.043624039,0.717254204,0.321117079,0.735620413,0.8953932,0.222602864,0.923479295,0.080406534,0.433270439,0.241992402,0.070900137,0.669448808,0.324449689,0.520589783,0.176325271,0.587037168,0.036996573,0.988434055,0.734851516,0.541934096,0.998553523,0.925467162,0.120647694,0.591439587,0.302302322,0.987118545,0.189477295,0.864033084,0.27906136,0.667651055,-1.341377313
7,0.597123582,0.096602004,0.866927642,0.251060125,0.504070341,0.321789953,0.340988699,0.087040372,0.176403191,0.9071023,0.846646939,0.167918379,0.674653402,0.525228369,0.559730798,0.849996279,0.111564491,0.921188197,0.358168388,0.84763779,0.40891358,0.139889418,0.65400099,0.918073132,0.183030385,0.009032032,0.018774554,0.675434545,0.45578535,0.927296618,0.781908612
8,0.89334867,0.491756028,0.971084796,0.041298407,0.640622193,0.290345057,0.916760066,0.856895744,0.714085744,0.367644364,0.933337144,0.163208842,0.434296099,0.784366697,0.195136416,0.178129535,0.416783355,0.249652382,0.331408507,0.824210369,0.117757828,0.65348014,0.664728512,0.564082992,0.482161648,0.502166704,0.520469728,0.978425058,0.86962858,0.941613131,-0.173547038
9,0.667488128,0.391535345,0.0830281,0.406225636,0.729534836,0.562019823,0.733235578,0.683368549,0.583892991,0.388561851,0.737892907,0.705698853,0.573186474,0.501949598,0.78395169,0.36810868,0.56123319,0.034270769,0.784160882,0.158069994,0.620967479,0.31603058,0.598415503,0.421173778,0.084782935,0.347721079,0.893159402,0.045335718,0.917044538,0.04601848,-0.031666962
10,0.653119207,0.890324424,0.765271484,0.560015556,0.749222549,0.478332257,0.302791732,0.617788087,0.144400075,0.517059148,0.215563971,0.904100973,0.166071278,0.620854408,0.384828814,0.796710896,0.083224927,0.14630948,0.076995365,0.126778936,0.808150666,0.35775897,0.521695403,0.232308494,0.951391306,0.359829047,0.326750857,0.166753732,0.572098198,0.915968527,-0.833635927
11,0.622331596,0.24843875,0.900251087,0.955820998,0.7036284,0.135728377,0.798698104,0.123592684,0.216794612,0.669895095,0.932076048,0.611387193,0.67641425,0.610549989,0.089954308,0.213887575,0.385297975,0.327659845,0.56347773,0.00125398,0.217438548,0.085262935,0.066850989,0.036639942,0.95103549,0.82992692,0.658465334,0.394423541,0.084308262,0.183145254,-0.738054034
12,0.037522091,0.650715114,0.840933723,0.513828573,0.027043399,0.389172007,0.134267203,0.010516184,0.335206773,0.782504181,0.569849882,0.117482119,0.246579035,0.131177827,0.563960974,0.687931098,0.858841612,0.627518453,0.544813875,0.856369901,0.670326638,0.728911673,0.803184026,0.19317464,0.993141959,0.373847394,0.431490899,0.36066782,0.134512581,0.764403532,-0.549630656
13,0.300624682,0.765535892,0.100651615,0.434309038,0.925245037,0.828498169,0.757750282,0.746766895,0.392061082,0.221509189,0.853114499,0.543412169,0.473704812,0.084432314,0.786619561,0.363785852,0.562032821,0.124253367,0.863656834,0.108173872,0.195391679,0.794841718,0.489999329,0.510965314,0.305318609,0.000600762,0.000910508,0.617617574,0.58708561,0.85699641,0.809396618
14,0.90338153,0.856980999,0.370954647,0.098072369,0.680937628,0.646105858,0.400898221,0.885895776,0.194990083,0.842656393,0.173774648,0.347017784,0.0134569,0.478070969,0.139103916,0.457147346,0.804835982,0.284082066,0.109759154,0.227524216,0.076402934,0.352507443,0.788075116,0.851298088,0.85251653,0.749046058,0.349801434,0.822569822,0.861541732,0.042919156,-0.024638487
15,0.870728217,0.049729308,0.256791036,0.799709321,0.079887953,0.378607922,0.163674966,0.647172004,0.287680495,0.324037917,0.989628506,0.159598023,0.250470141,0.199025304,0.75244722,0.128463375,0.358995065,0.132629433,0.357400569,0.4566122,0.789130808,0.544868983,0.642276664,0.976427194,0.912091662,0.855016263,0.929139372,0.128483902,0.932386586,0.790821176,-0.376703327
